State,Month,Positive,Negative,id
MA,Jul,117612,1070818,25
MA,Aug,128533,1613984,25
MA,Sep,130642,2064199,25
MD,Jan,0,0,24
MD,Feb,0,0,24
MD,Mar,1660,14868,24
MD,Apr,21742,92617,24
MD,May,52778,249103,24
MD,Jun,67559,468296,24
MD,Jul,88346,822845,24
MD,Aug,108249,1222604,24
MD,Sep,123403,1470960,24
ME,Jan,0,0,23
ME,Feb,0,0,23
ME,Mar,303,6088,23
ME,Apr,1095,19546,23
ME,May,2325,47284,23
ME,Jun,3253,91699,23
ME,Jul,3912,163255,23
ME,Aug,4526,258409,23
ME,Sep,5288,415908,23
MI,Jan,0,0,26
MI,Feb,0,0,26
MI,Mar,18654,26334,26
MI,Apr,47505,168944,26
MI,May,63568,567192,26
MI,Jun,70728,974329,26
MI,Jul,90574,1753873,26
MI,Aug,113025,2651406,26
MI,Sep,134373,3408684,26
MN,Jan,0,0,27
MN,Feb,0,0,27
MN,Mar,916,20935,27
MN,Apr,8116,73349,27
MN,May,26322,257133,27
MN,Jun,36303,569013,27
MN,Jul,54463,779891,27
MN,Aug,75864,1052159,27
MN,Sep,96734,1287778,27
MO,Jan,0,0,29
MO,Feb,0,0,29
MO,Mar,1327,14614,29
MO,Apr,7562,73125,29
MO,May,13147,180414,29
MO,Jun,21551,351456,29
MO,Jul,50323,636450,29
MO,Aug,84697,898258,29
MO,Sep,123406,1174700,29
MP,Jan,0,0,
MP,Feb,0,0,
MP,Mar,2,0,
MP,Apr,14,585,
MP,May,22,6151,
MP,Jun,30,8187,
MP,Jul,42,11719,
MP,Aug,56,13484,
MP,Sep,70,14776,
MS,Jan,0,0,28
MS,Feb,0,0,28
MS,Mar,937,3537,28
MS,Apr,6815,59525,28
MS,May,15501,156336,28
MS,Jun,27247,260299,28
MS,Jul,58747,395758,28
MS,Aug,82950,490915,28
MS,Sep,96859,634036,28
MT,Jan,0,0,30
MT,Feb,0,0,30
MT,Mar,184,4234,30
MT,Apr,453,13461,30
MT,May,515,39283,30
MT,Jun,967,89894,30
MT,Jul,3965,166005,30
MT,Aug,7421,242817,30
MT,Sep,12107,318200,30
NC,Jan,0,0,37
NC,Feb,0,0,37
